,loop_step,standard_dev,number_town_people,guac_20,guac_19,guac_18,guac_17,guac_16,guac_15,guac_14,guac_13,guac_12,guac_11,guac_10,guac_9,guac_8,guac_7,guac_6,guac_5,guac_4,guac_3,guac_2,guac_1
80,80,1,50,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,false,not_all_assigned
81,81,1,50,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,false,not_all_assigned
82,82,1,50,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,not_all_assigned
83,83,1,50,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,not_all_assigned
84,84,1,50,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true
85,85,1,50,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,not_all_assigned
86,86,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,not_all_assigned
87,87,1,50,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,true
88,88,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,not_all_assigned,not_all_assigned
89,89,1,50,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,not_all_assigned
90,90,1,50,true,true,true,true,true,true,true,true,true,true,true,false,true,false,false,false,true,true,true,not_all_assigned
91,91,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,not_all_assigned
92,92,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,not_all_assigned
93,93,1,50,false,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,false,false,false,not_all_assigned
94,94,1,50,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,not_all_assigned
95,95,1,50,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,false,true,not_all_assigned
96,96,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,not_all_assigned
97,97,1,50,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,not_all_assigned
98,98,1,50,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,not_all_assigned
99,99,1,50,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,true,true,true,not_all_assigned
100,100,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,not_all_assigned
101,101,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true
102,102,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,not_all_assigned
