,loop_step,standard_dev,number_town_people,guac_20,guac_19,guac_18,guac_17,guac_16,guac_15,guac_14,guac_13,guac_12,guac_11,guac_10,guac_9,guac_8,guac_7,guac_6,guac_5,guac_4,guac_3,guac_2,fraction_multiple_condorcet_winners
107,107,1,50,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,false,0.0
108,108,1,50,true,true,true,false,true,false,true,true,true,true,false,true,true,true,false,true,true,true,false,0.0
109,109,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0.0
110,110,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,0.0
111,111,1,50,true,true,true,true,true,true,true,true,false,true,true,true,false,false,false,true,true,true,true,0.0
112,112,1,50,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,false,false,0.0
113,113,1,50,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,false,true,true,0.0
114,114,1,50,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,false,0.0
115,115,1,50,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,false,false,false,true,0.0
116,116,1,50,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,true,false,true,0.0
117,117,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,false,false,not_all_assigned,0.0
118,118,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,not_all_assigned,0.0
119,119,1,50,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,false,0.0
120,120,1,50,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,not_all_assigned,0.0
121,121,1,50,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,0.0
122,122,1,50,true,true,true,true,true,true,false,false,true,true,true,true,false,true,true,true,true,true,true,0.0
123,123,1,50,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,0.0
124,124,1,50,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,false,false,false,true,0.0
125,125,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,0.0
126,126,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,0.0
127,127,1,50,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,false,true,true,false,0.0
128,128,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0.0
129,129,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,0.005
130,130,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,false,0.0
131,131,1,50,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,false,true,true,0.0
132,132,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,false,0.0
133,133,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,0.0
134,134,1,50,true,true,true,true,true,true,true,true,false,true,true,true,false,false,true,true,true,false,false,0.0
135,135,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,0.0
136,136,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,0.0
137,137,1,50,true,true,true,true,true,false,false,true,true,true,true,true,true,true,false,true,false,true,not_all_assigned,0.0
138,138,1,50,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,true,true,true,0.0
139,139,1,50,true,true,true,true,true,false,true,true,true,true,false,true,false,true,true,true,true,false,true,0.0
140,140,1,50,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,false,false,0.0
141,141,1,50,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,true,true,true,0.0
142,142,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,0.0
143,143,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0.0
144,144,1,50,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,false,true,true,0.0
145,145,1,50,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,false,false,true,0.0
146,146,1,50,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,0.0
147,147,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,0.0
148,148,1,50,true,false,true,true,true,true,false,true,true,true,false,true,true,true,true,true,false,false,false,0.0
149,149,1,50,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,0.0
150,150,1,50,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,false,false,true,0.0
151,151,1,50,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,0.0
152,152,1,50,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,0.0
153,153,1,50,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,0.0
154,154,1,50,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,0.0
155,155,1,50,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,0.0
156,156,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,not_all_assigned,0.0
157,157,1,50,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,0.0
158,158,1,50,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,false,true,0.0
159,159,1,50,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,0.0
160,160,1,50,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,false,true,true,true,0.0
161,161,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,not_all_assigned,not_all_assigned,0.0
162,162,1,50,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,0.0
163,163,1,50,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,false,0.0
164,164,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,0.0
165,165,1,50,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,false,true,false,0.005
166,166,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,0.0
167,167,1,50,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,false,0.0
168,168,1,50,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,0.0
169,169,1,50,true,true,true,true,true,true,true,false,true,false,true,true,false,false,true,true,true,false,not_all_assigned,0.0
170,170,1,50,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,0.0
171,171,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,0.0
172,172,1,50,true,true,false,true,true,true,true,false,true,true,false,true,true,true,true,false,true,true,false,0.0
173,173,1,50,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,false,true,true,0.0
174,174,1,50,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,false,false,false,true,0.0
175,175,1,50,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,0.0
176,176,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,0.0
