,Guac Entrants,Townspeople,Sampling Limit,Std. Deviation,Valid
242,20,400,16.0,3.0,False
243,20,400,17.0,3.0,True
244,20,400,18.0,3.0,True
245,20,400,19.0,3.0,True
246,20,400,20.0,3.0,True
247,20,10,2.0,3.0,False
248,20,10,3.0,3.0,False
249,20,10,4.0,3.0,False
250,20,10,5.0,3.0,False
251,20,10,6.0,3.0,False
252,20,10,7.0,3.0,False
253,20,10,8.0,3.0,False
254,20,10,9.0,3.0,False
255,20,10,10.0,3.0,False
256,20,10,11.0,3.0,False
257,20,10,12.0,3.0,False
258,20,10,13.0,3.0,True
259,20,10,14.0,3.0,True
260,20,10,15.0,3.0,True
261,20,10,16.0,3.0,False
262,20,10,17.0,3.0,True
263,20,10,18.0,3.0,False
264,20,10,19.0,3.0,False
265,20,10,20.0,3.0,False
266,20,20,2.0,3.0,False
267,20,20,3.0,3.0,False
268,20,20,4.0,3.0,True
269,20,20,5.0,3.0,True
270,20,20,6.0,3.0,False
271,20,20,7.0,3.0,False
272,20,20,8.0,3.0,False
273,20,20,9.0,3.0,False
274,20,20,10.0,3.0,True
275,20,20,11.0,3.0,False
276,20,20,12.0,3.0,False
277,20,20,13.0,3.0,False
278,20,20,14.0,3.0,False
279,20,20,15.0,3.0,False
280,20,20,16.0,3.0,True
281,20,20,17.0,3.0,True
282,20,20,18.0,3.0,True
283,20,20,19.0,3.0,False
284,20,20,20.0,3.0,False
285,20,30,2.0,3.0,False
286,20,30,3.0,3.0,True
287,20,30,4.0,3.0,True
288,20,30,5.0,3.0,False
289,20,30,6.0,3.0,True
290,20,30,7.0,3.0,False
291,20,30,8.0,3.0,False
292,20,30,9.0,3.0,False
293,20,30,10.0,3.0,False
294,20,30,11.0,3.0,True
295,20,30,12.0,3.0,False
296,20,30,13.0,3.0,False
297,20,30,14.0,3.0,False
298,20,30,15.0,3.0,True
299,20,30,16.0,3.0,True
300,20,30,17.0,3.0,True
301,20,30,18.0,3.0,False
302,20,30,19.0,3.0,True
303,20,30,20.0,3.0,True
304,20,40,2.0,3.0,False
305,20,40,3.0,3.0,False
306,20,40,4.0,3.0,True
307,20,40,5.0,3.0,False
308,20,40,6.0,3.0,False
309,20,40,7.0,3.0,False
310,20,40,8.0,3.0,False
311,20,40,9.0,3.0,True
312,20,40,10.0,3.0,False
313,20,40,11.0,3.0,False
314,20,40,12.0,3.0,True
315,20,40,13.0,3.0,True
316,20,40,14.0,3.0,True
317,20,40,15.0,3.0,True
318,20,40,16.0,3.0,False
319,20,40,17.0,3.0,True
320,20,40,18.0,3.0,False
321,20,40,19.0,3.0,True
322,20,40,20.0,3.0,True
323,20,50,2.0,3.0,False
324,20,50,3.0,3.0,True
325,20,50,4.0,3.0,True
326,20,50,5.0,3.0,False
327,20,50,6.0,3.0,True
328,20,50,7.0,3.0,False
329,20,50,8.0,3.0,True
330,20,50,9.0,3.0,True
331,20,50,10.0,3.0,False
332,20,50,11.0,3.0,False
333,20,50,12.0,3.0,False
334,20,50,13.0,3.0,True
335,20,50,14.0,3.0,True
336,20,50,15.0,3.0,False
337,20,50,16.0,3.0,True
338,20,50,17.0,3.0,True
339,20,50,18.0,3.0,False
340,20,50,19.0,3.0,True
341,20,50,20.0,3.0,True
342,20,75,2.0,3.0,False
343,20,75,3.0,3.0,False
344,20,75,4.0,3.0,False
345,20,75,5.0,3.0,False
346,20,75,6.0,3.0,True
347,20,75,7.0,3.0,False
348,20,75,8.0,3.0,False
349,20,75,9.0,3.0,False
350,20,75,10.0,3.0,True
351,20,75,11.0,3.0,False
352,20,75,12.0,3.0,False
353,20,75,13.0,3.0,True
354,20,75,14.0,3.0,True
355,20,75,15.0,3.0,False
356,20,75,16.0,3.0,True
357,20,75,17.0,3.0,True
358,20,75,18.0,3.0,False
359,20,75,19.0,3.0,False
360,20,75,20.0,3.0,True
361,20,100,2.0,3.0,False
362,20,100,3.0,3.0,False
363,20,100,4.0,3.0,True
364,20,100,5.0,3.0,False
365,20,100,6.0,3.0,False
366,20,100,7.0,3.0,True
367,20,100,8.0,3.0,False
368,20,100,9.0,3.0,True
369,20,100,10.0,3.0,True
370,20,100,11.0,3.0,False
371,20,100,12.0,3.0,True
372,20,100,13.0,3.0,True
373,20,100,14.0,3.0,True
374,20,100,15.0,3.0,False
375,20,100,16.0,3.0,True
376,20,100,17.0,3.0,True
377,20,100,18.0,3.0,True
378,20,100,19.0,3.0,True
379,20,100,20.0,3.0,True
380,20,150,2.0,3.0,False
381,20,150,3.0,3.0,True
382,20,150,4.0,3.0,True
383,20,150,5.0,3.0,False
384,20,150,6.0,3.0,True
385,20,150,7.0,3.0,False
386,20,150,8.0,3.0,False
387,20,150,9.0,3.0,True
388,20,150,10.0,3.0,True
389,20,150,11.0,3.0,False
390,20,150,12.0,3.0,True
391,20,150,13.0,3.0,False
392,20,150,14.0,3.0,False
393,20,150,15.0,3.0,True
394,20,150,16.0,3.0,False
395,20,150,17.0,3.0,True
396,20,150,18.0,3.0,True
397,20,150,19.0,3.0,False
398,20,150,20.0,3.0,True
399,20,200,2.0,3.0,True
400,20,200,3.0,3.0,True
401,20,200,4.0,3.0,True
402,20,200,5.0,3.0,False
403,20,200,6.0,3.0,False
404,20,200,7.0,3.0,True
405,20,200,8.0,3.0,False
406,20,200,9.0,3.0,False
407,20,200,10.0,3.0,False
408,20,200,11.0,3.0,True
409,20,200,12.0,3.0,True
410,20,200,13.0,3.0,False
411,20,200,14.0,3.0,True
412,20,200,15.0,3.0,False
413,20,200,16.0,3.0,True
414,20,200,17.0,3.0,False
415,20,200,18.0,3.0,True
416,20,200,19.0,3.0,False
417,20,200,20.0,3.0,True
418,20,250,2.0,3.0,False
419,20,250,3.0,3.0,False
420,20,250,4.0,3.0,True
421,20,250,5.0,3.0,True
422,20,250,6.0,3.0,True
423,20,250,7.0,3.0,False
424,20,250,8.0,3.0,True
425,20,250,9.0,3.0,True
426,20,250,10.0,3.0,True
427,20,250,11.0,3.0,False
